tweets,processed_text,sentiment,predicted_sentiment,prediction_probability,top_topics,dataset
"#aapl:should apple, amazon, or ebay be portfolio picks for 2015?...","should, amazon, or ebay be pofolio pick for ?...",0.0,0.0,0.8846141,"Topic 5, Topic 3",train
my old iphone exploded for no good reason @apple what the heck??? ,my old iphon explod for no good reason what the heck???,-1.0,0.0,0.3390669,"Topic 3, Topic 4",train
"apple stock in upward trend after 'explosive' holiday quarter, apple watch release in 2015 $aapl #aapl ","stock in upward trend after explos holiday quaer,watch releas in",1.0,1.0,0.757782,"Topic 2, Topic 6",train
vai toma no cu @apple,vai toma no cu,0.0,0.0,0.778201,"Topic 5, Topic 6",train
@apple when ios 7 makes it look like an iphone has a more vulgar samssung why continue to want an iphone?,when io make it look like an iphon ha a more vulgar samssung whi continu to want an iphone?,-1.0,-1.0,0.7601103,"Topic 5, Topic 6",train
seems like @apple #customerservice is going downhill when they say need a new battery due to 600 charges over 14 months. é¶¯50 to change.,seem like is go downhil when they say need a new batteri due to charg over months. to change.,-1.0,-1.0,0.7458711,"Topic 3, Topic 5",train
@apple tree who knows. maybe the cop didn't get a cig deal.  senseless.,tree who knows. mayb the cop didnt get a cig deal. senseless.,-1.0,0.0,0.49374267,"Topic 3, Topic 6",train
@apple thanks for making the shittiest chargers,thank for make the shittiest charger,-1.0,-1.0,0.9105549,"Topic 3, Topic 4",train
@jessicab515 @britt_bumgarner @apple fight fight fight,fight fight fight,0.0,0.0,0.67290664,"Topic 1, Topic 2",train
congrats @apple on making an iphone recording drm protected so we can't play it anywhere we want #fail,congrat on make an iphon record drm protect so we cant play it anywher we want,-1.0,-1.0,0.63272184,"Topic 6, Topic 5",train
@mrbeagleman @kronykal @apple that coffee's not even fair trade!,that coffe not even fair trade!,-1.0,-1.0,0.51974654,"Topic 6, Topic 3",train
elgato launches thunderbolt 2 dock with 4k resolution support [mac blog]  #aapl,elgato launch thunderbolt dock with k resolut suppomac blog,0.0,0.0,0.93725044,"Topic 2, Topic 6",train
rt: yahootech: @apple admits to years of removing non-itunes music from #ipods ,yahootech admit to year of remov nonitun music from,0.0,0.0,0.64936924,"Topic 4, Topic 3",train
u.s. government attempts 'hail mary' to get #apple to unlock #iphones #aapl ,u.s. govern attempt hail mari to get to unlock,0.0,0.0,0.778201,"Topic 1, Topic 3",train
apple - fibonacci technicals levels - intraday  update - $aapl #aapl  ,fibonacci technic level intraday updat,0.0,0.0,0.9816999,"Topic 4, Topic 1",train
"@apple""@questionierr: your favourite fruit? #mikesleek #tmk""",your favourit fruit?,0.0,0.0,0.778201,"Topic 5, Topic 6",train
why can't i hide the gray controller on the dvd player? what heck? @apple ,whi cant i hide the gray control on the dvd player? what heck?,-1.0,-1.0,0.5093092,"Topic 2, Topic 3",train
"rt @onerepublic: studio at 45,000 ft.  one outlet,  4 computers.  @apple we need the batteries of the future now!!!! ","studio at , ft. one outlet, computers. we need the batteri of the futur now!!!!",-1.0,0.0,0.79342747,"Topic 5, Topic 3",train
@apple: apple id should always b able to b set up w/out cred card/paypal/gift card attach to it. you'll still get your $ if they buy. #fail,id should alway b abl to b set up wout cred cardpaypalgift card attach to it. youll still get your if they buy.,-1.0,0.0,0.49298477,"Topic 1, Topic 6",train
@shelovesquez @apple you must not like em,you must not like em,0.0,0.0,0.82598084,"Topic 5, Topic 1",train
lol  rt @ms_bianca_bisa: @mhdadon @apple i haven't decided yet. i might get bourgeois about it,lol i havent decid yet. i might get bourgeoi about it,0.0,0.0,0.78732973,"Topic 2, Topic 3",train
@professorf @apple @hp i am a bigger fan of the @lgelectronics g watch r.,i am a bigger fan of the g watch r.,0.0,0.0,0.8381126,"Topic 1, Topic 5",train
one good thing about waiting in the @apple store for my 'appointment' is that i cleared up the backlog of emails from my inbox,one good thing about wait in the store for my appoint is that i clear up the backlog of email from my inbox,-1.0,0.0,0.51863015,"Topic 2, Topic 6",train
@apple ear pods are amazing! best sound from in-ear headphones i've ever had!,ear pod are amazing! best sound from inear headphon ive ever had!,1.0,1.0,0.5579311,"Topic 4, Topic 5",train
survey feedback on @apple iwatch positioning as a fashion accessory over geek-centric gadget  ,survey feedback on iwatch posit as a fashion accessori over geekcentr gadget,0.0,0.0,0.81902766,"Topic 4, Topic 1",train
@apple why is it that your iphone's alarm fails to work sometimes?? i missed 3 bonus points from a class because of this. sooooo annoyed,whi is it that your iphon alarm fail to work sometimes?? i miss bonu point from a class becaus of this. sooooo annoy,-1.0,-1.0,0.9955135,"Topic 6, Topic 5",train
rt @jpdesloges: apple - fibonacci technicals levels -last  intraday  update - $aapl #aapl  ,fibonacci technic level last intraday updat,0.0,0.0,0.9816999,"Topic 4, Topic 1",train
could apple inc. sell 24 million apple watches in 2015?  #aapl,couldinc. sell millionwatch in ?,0.0,0.0,0.8401946,"Topic 6, Topic 4",train
@youkantfindme @apple kashka and clave own your mind,kashka and clave own your mind,0.0,0.0,0.778201,"Topic 3, Topic 2",train
"@apple, how does the word 'demographic' not have any synonyms attached in your dictionary application #incompetence",", how doe the word demograph not have ani synonym attach in your dictionary",-1.0,0.0,0.7231532,"Topic 6, Topic 3",train
"please, @apple, don't go the way @facebook has gone with their ios 'release notes'.  we deserve to know what's happening with our gear.","please, , dont go the way ha gone with their io releas notes. we deserv to know what happen with our gear.",-1.0,-1.0,0.6525218,"Topic 6, Topic 4",train
enjoyed #applepay ads by @chase (w/@bleachersmusic)  &amp; @wellsfargo  where u at @cvshealth? #aapl,enjoy ad by w where u at ?,0.0,0.0,0.63026196,"Topic 4, Topic 2",train
"rt @onerepublic: studio at 45,000 ft.  one outlet,  4 computers.  @apple we need the batteries of the future now!!!! ","studio at , ft. one outlet, computers. we need the batteri of the futur now!!!!",0.0,0.0,0.79342747,"Topic 5, Topic 3",train
zoonova what-if analysis #aapl #lnkd #fb #googl #tsla stocks options bonds frn mm. % -10 bps vol + 20% nasdaq 4500 ,zoonova whatif analysi stock option bond frn mm. bp vol nasdaq,0.0,0.0,0.86868143,"Topic 2, Topic 3",train
#aapl:is it time to start buying apple?...,is it time to stabuying?...,0.0,0.0,0.778201,"Topic 2, Topic 5",train
#aapl:update 1-alabama anti-discrimination bill to be named after apple's ti...,updat alabama antidiscrimin bill to be name after ti...,0.0,0.0,0.72434884,"Topic 1, Topic 5",train
