labels,tweets
0.0,#aapl:the 10 best steve jobs emails ever...
0.0,rt @jpdesloges: why aapl stock had a mini-flash crash today $aapl #aapl 
0.0,my cat only chews @apple cords. such an #applesnob.
0.0,"i agree with @jimcramer that the #individualinvestor should own not trade #apple #aapl, it's extended so today's pullback is good to see"
0.0,nobody expects the spanish inquisition #aapl
0.0,#aapl:5 rocket stocks to buy for december gains: apple and more...
1.0,top 3 all @apple #tablets. damn right! 
1.0,cnbctv: #apple's margins better than expected? #aapl 
0.0,apple inc. flash crash: what you need to know  #aapl
0.0,#aapl:this presentation shows what makes the world's biggest tech companies ...
-1.0,wtf my battery was 31% one second ago and now is 29% wtf is this @apple
0.0,apple watch tops search engine list of best wearable tech  #aapl #iwatch #applewatch
0.0,"the best-designed #iphone #apps in the world, according to @apple:  "
1.0,rt @peterpham: bought my @augustsmartlock at the @apple store..pretty good logo match . can't wait to install it! 
-1.0,@apple contact sync between yosemite and ios8 is seriously screwed up. it used to be much more stable in the past. #icloud #isync
0.0,#aapl @applenws thanks to the non factual dumb twitter followers stock drops 3 points in one minute. thanks dummies. #rumors
-1.0,warning if you buy an iphone 5s unlocked from @apple iphone you cannot use it on verizon network
0.0,@apple- thanks for xtra checkin at upper westside store- but why are appointments running almost 50 minutes late?
0.0,why #aapl stock had a mini-flash crash today: money morning: nothing the analysts suggested would make a widel... 
0.0,the jh hines staff with their newly issued @apple #connected macbook and ipad mini #txed 
0.0,@robconeybeer: you need an ip portfolio to defend against big companies - just look at @samsung @apple court battles
-1.0,"@apple, for the love of gawd, center the '1'on the damn calendar app. you fixed it once, its back, off center, again! "
-1.0,i get the storage almost full notification literally every 5 minutes chill @apple
-1.0,i had to do made the #switch from iphone 6 to the galaxy note edge. @apple keep up 
-1.0,@ me rt @101baemations: can't stand those ppl with @apple stickers everywhere. 9/10 they prob just bought an ipod shuffle
0.0,justice department cites 18th century federal law to get @apple to unlock iphones: 
1.0,latest apple products leading in efficiency  @apple #iphone #ipad #plugloads
0.0,rt @thehill: justice department cites 18th century federal law to get @apple to unlock iphones: 
0.0,good be huge rt @thehill justice department cites 18th century federal law to get @apple to unlock iphones: 
0.0,@thehill @apple i cite the 4th amendment as a retort
0.0,rt @thehill: justice department cites 18th century federal law to get @apple to unlock iphones: 
1.0,rt @saxonidubom: @rwang0 @apple thanks...thinking of upgrading.
0.0,rt @thehill: justice department cites 18th century federal law to get @apple to unlock iphones: 
0.0,way to stay relevant rt @thehill: justice department cites 18th century federal law to get @apple to unlock iphones: 
0.0,apple inc. flash crash: what you need to know  #aapl
0.0, need help on using your #apple #iphone6 &amp; #iphone6plus ? #checkitout @applenws @apple 
0.0,rt @thehill: justice department cites 18th century federal law to get @apple to unlock iphones: 
-1.0,that flash crash really screwed with a lot of traders today. not me. im more determined than ever to make trading work for me #aapl
0.0,rt @tra_hall: the jh hines staff with their newly issued @apple #connected macbook and ipad mini #txed  #txed
-1.0,nigga update yall headphones @apple
